date,price,cost,comp1_price,comp2_price,comp3_price,volume,comp_avg_price,price_vs_comp,price_vs_cost,price_lag_1,price_lag_7,price_ma_7,price_ma_14,day_of_week,month,demand_proxy
2023-01-14,97.48,87.42,97.87,96.26,97.52,12938,97.21666666666665,0.26333333333334963,10.060000000000002,95.88,98.63,98.6557142857143,97.58142857142856,5,1,49.0645238095238
2023-01-15,97.04,87.44,96.18,98.43,97.78,13381,97.46333333333332,-0.4233333333333178,9.600000000000009,97.48,100.89,98.10571428571428,97.53714285714285,6,1,49.47619047619046
2023-01-16,96.87,87.4,94.87,96.7,97.02,14275,96.19666666666666,0.6733333333333462,9.469999999999999,97.04,97.71,97.98571428571428,97.56642857142857,0,1,48.319523809523794
2023-01-17,96.84,86.4,98.17,99.17,96.44,14412,97.92666666666666,-1.086666666666659,10.439999999999998,96.87,97.14,97.94285714285715,97.72142857142856,1,1,50.058095238095234
2023-01-18,96.39,86.81,98.05,95.97,97.3,14773,97.10666666666667,-0.7166666666666686,9.579999999999998,96.84,101.3,97.24142857142856,97.655,2,1,49.33738095238095
2023-01-19,96.53,86.22,97.42,96.83,97.65,14538,97.3,-0.769999999999996,10.310000000000002,96.39,100.19,96.71857142857142,97.83,3,1,49.12928571428571
2023-01-20,94.51,86.12,94.03,92.7,94.2,13507,93.64333333333333,0.8666666666666742,8.39,96.53,95.88,96.52285714285715,97.67142857142856,4,1,47.3947619047619
2023-01-21,95.11,85.24,94.37,93.98,94.71,13049,94.35333333333334,0.7566666666666606,9.870000000000005,94.51,97.48,96.1842857142857,97.42,5,1,47.33547619047619
2023-01-22,98.01,85.91,96.11,98.35,98.39,13520,97.61666666666666,0.3933333333333451,12.100000000000009,95.11,97.04,96.32285714285715,97.21428571428571,6,1,47.76809523809523
2023-01-23,96.01,85.56,95.42,94.35,95.69,14336,95.15333333333332,0.8566666666666833,10.450000000000003,98.01,96.87,96.20000000000002,97.09285714285714,0,1,47.243333333333325
2023-01-24,98.72,85.84,100.18,99.93,98.15,15100,99.42,-0.7000000000000028,12.879999999999995,96.01,96.84,96.46857142857142,97.2057142857143,1,1,48.934285714285714
2023-01-25,96.48,86.94,95.69,95.95,96.96,15050,96.19999999999999,0.28000000000001535,9.540000000000006,98.72,96.39,96.48142857142857,96.86142857142859,2,1,47.96071428571427
2023-01-26,95.69,85.42,95.4,96.19,95.8,13280,95.79666666666667,-0.10666666666666913,10.269999999999996,96.48,96.53,96.36142857142859,96.53999999999999,3,1,48.287380952380964
2023-01-27,100.22,87.95,100.08,98.67,99.89,13479,99.54666666666667,0.673333333333332,12.269999999999996,95.69,94.51,97.17714285714285,96.85,4,1,47.915238095238095
2023-01-28,93.17,86.19,92.92,93.44,93.43,13517,93.26333333333334,-0.09333333333333371,6.980000000000004,100.22,95.11,96.9,96.54214285714286,5,1,48.54333333333334
2023-01-29,91.16,86.06,92.47,89.55,92.39,13910,91.46999999999998,-0.30999999999998806,5.099999999999994,93.17,98.01,95.92142857142856,96.12214285714286,6,1,48.27071428571427
2023-01-30,93.61,85.19,94.24,91.96,93.34,13387,93.17999999999999,0.4300000000000068,8.420000000000002,91.16,96.01,95.57857142857142,95.88928571428572,0,1,47.359285714285704
2023-01-31,98.79,86.22,98.5,97.11,98.66,13949,98.08999999999999,0.700000000000017,12.570000000000007,93.61,98.72,95.58857142857143,96.02857142857144,1,1,47.0942857142857
2023-02-01,93.46,85.19,93.73,95.29,92.97,14500,93.99666666666667,-0.536666666666676,8.269999999999996,98.79,96.48,95.15714285714286,95.81928571428571,2,2,48.115238095238105
2023-02-02,101.08,86.1,100.57,101.99,100.82,14741,101.12666666666667,-0.046666666666666856,14.980000000000004,93.46,95.69,95.92714285714285,96.14428571428572,3,2,48.010238095238094
2023-02-03,96.29,87.8,97.42,97.14,96.85,14584,97.13666666666666,-0.8466666666666498,8.490000000000009,101.08,100.22,95.36571428571428,96.27142857142859,4,2,48.52952380952379
2023-02-04,94.93,85.7,95.89,97.59,97.3,13413,96.92666666666668,-1.9966666666666697,9.230000000000004,96.29,93.17,95.61714285714285,96.25857142857141,5,2,49.805238095238096
2023-02-05,99.67,86.76,99.19,98.9,100.45,13909,99.51333333333334,0.1566666666666663,12.909999999999997,94.93,91.16,96.83285714285715,96.37714285714286,6,2,48.25976190476191
2023-02-06,100.43,85.19,100.52,100.95,98.35,13939,99.94,0.4900000000000091,15.240000000000009,99.67,93.61,97.80714285714285,96.69285714285715,0,2,48.413571428571416
2023-02-07,101.65,85.7,101.25,100.76,102.31,14468,101.44,0.21000000000000796,15.950000000000003,100.43,98.79,98.2157142857143,96.90214285714285,1,2,48.89785714285714
2023-02-08,97.19,86.53,98.34,98.71,99.21,15045,98.75333333333333,-1.5633333333333326,10.659999999999997,101.65,93.46,98.74857142857142,96.95285714285714,2,2,50.937619047619044
2023-02-09,96.5,84.55,94.73,97.73,97.87,14970,96.77666666666669,-0.27666666666668505,11.950000000000003,97.19,101.08,98.0942857142857,97.01071428571429,3,2,49.32380952380954
2023-02-10,95.63,86.3,98.49,96.38,97.33,14323,97.39999999999999,-1.769999999999996,9.329999999999998,96.5,96.29,98.0,96.68285714285716,4,2,50.769999999999996
2023-02-11,98.02,85.69,96.57,96.43,97.78,14478,96.92666666666666,1.0933333333333337,12.329999999999998,95.63,94.93,98.44142857142856,97.02928571428572,5,2,48.127380952380946
2023-02-12,93.21,84.84,94.53,93.13,94.58,13004,94.08,-0.8700000000000045,8.36999999999999,98.02,99.67,97.51857142857143,97.17571428571428,6,2,49.62928571428572
